month,revenue_jpy,operating_cost_jpy,operating_profit_jpy,profit_margin_pct,occupied_room_nights,available_room_nights,occupancy_rate_pct,adr_jpy,labor_hours,revenue_per_labor_hour_jpy
2025-01,35020215.0,20597497.0,14422718.0,41.18,2993,3720,80.46,18031.0,9051.4,3869.0
2025-02,31439524.0,21211805.0,10227719.0,32.53,2671,3360,79.49,17847.0,8052.77,3904.0
2025-03,19664162.0,15737448.0,3926714.0,19.97,2251,3720,60.51,13444.0,7045.66,2791.0
2025-04,27277806.0,18707975.0,8569831.0,31.42,2558,3600,71.06,16263.0,7997.78,3411.0
2025-05,27500798.0,18488976.0,9011822.0,32.77,2586,3720,69.52,16254.0,8293.63,3316.0
2025-06,20894436.0,16273079.0,4621357.0,22.12,2271,3600,63.08,13768.0,6714.12,3112.0
2025-07,47218948.0,23793749.0,23425199.0,49.61,3521,3720,94.65,20656.0,10492.86,4500.0
2025-08,46054017.0,25124698.0,20929319.0,45.45,3301,3720,88.74,20981.0,10693.85,4307.0
2025-09,20230145.0,15961192.0,4268953.0,21.1,2242,3600,62.28,14129.0,6834.72,2960.0
2025-10,28603415.0,18560846.0,10042569.0,35.11,2707,3720,72.77,16585.0,8087.1,3537.0
2025-11,19329341.0,16110921.0,3218420.0,16.65,2129,3600,59.14,14241.0,6843.94,2824.0
2025-12,33077855.0,20129636.0,12948219.0,39.14,2846,3720,76.51,17856.0,9065.38,3649.0
