ar_id,invoice_id,customer_id,payment_date,amount_paid_jpy,outstanding_balance_jpy,days_past_due,payment_status
1,1,1087,2025-02-15,15329.0,0.0,0,Paid
2,2,1030,2025-02-24,49138.0,0.0,0,Paid
3,3,1084,2025-01-29,21254.0,0.0,0,Paid
4,4,1098,2025-02-02,47635.0,0.0,0,Paid
5,5,1020,2025-02-13,143309.0,0.0,0,Paid
6,6,1045,2025-02-17,45671.0,0.0,0,Paid
7,7,1069,2025-02-26,72039.0,0.0,0,Paid
8,8,1114,2025-01-26,65015.0,0.0,0,Paid
9,9,1006,2025-03-06,67991.0,0.0,0,Paid
10,10,1049,2025-02-06,74069.0,0.0,0,Paid
11,11,1048,2025-03-06,27817.0,0.0,0,Paid
12,12,1082,2025-01-19,45018.0,0.0,0,Paid
13,13,1049,,0,44043.0,331,Open
14,14,1099,2025-01-15,60761.0,0.0,0,Paid
15,15,1041,2025-02-12,40564.0,0.0,0,Paid
16,16,1028,2025-01-27,15046.0,0.0,0,Paid
17,17,1059,2025-02-11,46474.0,0.0,0,Paid
18,18,1055,2025-02-05,12431.0,0.0,0,Paid
19,19,1018,2025-02-12,66840.0,0.0,0,Paid
20,20,1102,,0,24292.0,333,Open
21,21,1077,2025-01-28,50085.0,0.0,0,Paid
22,22,1093,2025-02-26,63686.0,0.0,0,Paid
23,23,1099,,0,63642.0,315,Open
24,24,1113,2025-02-03,17750.0,0.0,0,Paid
25,25,1065,2025-02-03,134099.0,0.0,0,Paid
26,26,1020,2025-01-15,107282.0,0.0,0,Paid
27,27,1119,2025-03-19,14825.0,0.0,0,Paid
28,28,1113,2025-01-28,26939.0,0.0,0,Paid
29,29,1031,2025-02-03,105443.0,0.0,0,Paid
30,30,1098,2025-01-20,131086.0,0.0,0,Paid
31,31,1122,2025-02-11,22488.0,0.0,0,Paid
32,32,1070,2025-02-23,21083.0,0.0,0,Paid
33,33,1052,2025-01-21,77594.0,0.0,0,Paid
34,34,1029,2025-02-12,61931.0,0.0,0,Paid
35,35,1076,2025-02-13,14546.0,0.0,0,Paid
