booking_id,customer_id,customer_segment,check_in_date,check_out_date,room_type,rooms_booked,room_rate_jpy
1,1087,Leisure,2025-01-01,2025-01-02,Standard,1,12475.0
2,1030,Leisure,2025-01-01,2025-01-03,Deluxe,1,19040.0
3,1084,Corporate,2025-01-01,2025-01-02,Deluxe,1,18530.0
4,1098,Leisure,2025-01-01,2025-01-03,Deluxe,1,17877.0
5,1020,Leisure,2025-01-01,2025-01-04,Suite,1,37315.0
6,1045,Corporate,2025-01-01,2025-01-04,Standard,1,11955.0
7,1069,Leisure,2025-01-01,2025-01-04,Deluxe,1,19351.0
8,1114,Corporate,2025-01-01,2025-01-05,Standard,1,12268.0
9,1006,Leisure,2025-01-01,2025-01-03,Family,1,28045.0
10,1049,Event Group,2025-01-01,2025-01-04,Deluxe,1,20215.0
11,1048,Leisure,2025-01-01,2025-01-03,Standard,1,11048.0
12,1082,Leisure,2025-01-01,2025-01-04,Standard,1,12492.0
13,1049,Corporate,2025-01-01,2025-01-04,Standard,1,12294.0
14,1099,Leisure,2025-01-01,2025-01-05,Standard,1,12820.0
15,1041,Corporate,2025-01-01,2025-01-02,Suite,1,34439.0
16,1028,Travel Agency,2025-01-01,2025-01-02,Standard,1,11181.0
17,1059,Travel Agency,2025-01-01,2025-01-03,Deluxe,1,17441.0
18,1055,Travel Agency,2025-01-01,2025-01-02,Standard,1,11022.0
19,1018,Corporate,2025-01-01,2025-01-03,Family,1,24486.0
20,1102,Corporate,2025-01-01,2025-01-02,Deluxe,1,19997.0
21,1077,Leisure,2025-01-01,2025-01-03,Deluxe,1,19715.0
22,1093,Event Group,2025-01-01,2025-01-03,Family,1,25497.0
23,1099,Travel Agency,2025-01-01,2025-01-05,Standard,1,12532.0
24,1113,Leisure,2025-01-01,2025-01-02,Deluxe,1,14903.0
25,1065,Travel Agency,2025-01-01,2025-01-06,Deluxe,1,19447.0
26,1020,Corporate,2025-01-01,2025-01-05,Family,1,23518.0
27,1119,Event Group,2025-01-01,2025-01-02,Standard,1,11587.0
28,1113,Leisure,2025-01-01,2025-01-02,Deluxe,1,21761.0
29,1031,Corporate,2025-01-01,2025-01-04,Family,1,25868.0
30,1098,Corporate,2025-01-01,2025-01-05,Family,1,24536.0
31,1122,Leisure,2025-01-01,2025-01-02,Deluxe,1,18449.0
32,1070,Travel Agency,2025-01-01,2025-01-02,Deluxe,1,17501.0
33,1052,Leisure,2025-01-01,2025-01-04,Deluxe,1,18872.0
34,1029,Leisure,2025-01-01,2025-01-03,Family,1,24278.0
35,1076,Leisure,2025-01-01,2025-01-02,Standard,1,12593.0
36,1111,Leisure,2025-01-01,2025-01-02,Standard,1,12940.0
37,1063,Corporate,2025-01-01,2025-01-03,Standard,1,14829.0
38,1101,Event Group,2025-01-01,2025-01-02,Standard,1,11617.0
39,1085,Corporate,2025-01-01,2025-01-03,Standard,1,12156.0
40,1083,Leisure,2025-01-01,2025-01-03,Standard,1,12452.0
41,1111,Leisure,2025-01-01,2025-01-03,Standard,1,11149.0
42,1060,Leisure,2025-01-01,2025-01-02,Standard,1,13060.0
43,1111,Leisure,2025-01-01,2025-01-05,Standard,1,13147.0
44,1012,Corporate,2025-01-02,2025-01-04,Deluxe,1,17874.0
45,1052,Corporate,2025-01-02,2025-01-05,Family,1,23902.0
46,1050,Corporate,2025-01-02,2025-01-03,Family,1,25426.0
47,1101,Leisure,2025-01-02,2025-01-05,Standard,1,10400.0
48,1038,Corporate,2025-01-02,2025-01-05,Deluxe,1,20120.0
49,1007,Leisure,2025-01-02,2025-01-03,Standard,1,13464.0
50,1021,Travel Agency,2025-01-02,2025-01-04,Deluxe,1,18877.0
51,1111,Travel Agency,2025-01-02,2025-01-04,Standard,1,12995.0
52,1032,Travel Agency,2025-01-02,2025-01-03,Standard,1,12808.0
53,1041,Corporate,2025-01-02,2025-01-03,Deluxe,1,17356.0
54,1031,Leisure,2025-01-02,2025-01-03,Family,1,23118.0
55,1120,Leisure,2025-01-02,2025-01-03,Standard,1,10406.0
56,1013,Event Group,2025-01-02,2025-01-04,Standard,1,13268.0
57,1113,Corporate,2025-01-02,2025-01-03,Standard,1,14557.0
58,1070,Leisure,2025-01-02,2025-01-03,Standard,1,11800.0
59,1105,Event Group,2025-01-02,2025-01-04,Deluxe,1,18295.0
60,1113,Corporate,2025-01-02,2025-01-06,Deluxe,1,18248.0
61,1078,Corporate,2025-01-02,2025-01-03,Standard,1,11888.0
62,1110,Leisure,2025-01-02,2025-01-03,Standard,1,12385.0
63,1055,Travel Agency,2025-01-02,2025-01-04,Standard,1,12903.0
64,1017,Leisure,2025-01-02,2025-01-03,Suite,1,31267.0
65,1002,Travel Agency,2025-01-02,2025-01-03,Deluxe,1,16926.0
66,1020,Leisure,2025-01-02,2025-01-06,Standard,1,12309.0
67,1040,Leisure,2025-01-02,2025-01-05,Deluxe,1,18859.0
68,1006,Event Group,2025-01-02,2025-01-06,Standard,1,13074.0
69,1114,Corporate,2025-01-02,2025-01-03,Family,1,28113.0
70,1119,Travel Agency,2025-01-02,2025-01-07,Family,1,27420.0
71,1004,Event Group,2025-01-02,2025-01-06,Family,1,26857.0
72,1053,Travel Agency,2025-01-02,2025-01-06,Standard,1,10711.0
73,1014,Travel Agency,2025-01-02,2025-01-06,Suite,1,31722.0
74,1026,Leisure,2025-01-02,2025-01-03,Standard,1,14421.0
75,1004,Corporate,2025-01-02,2025-01-04,Suite,1,32720.0
76,1009,Corporate,2025-01-02,2025-01-04,Deluxe,1,17385.0
77,1069,Leisure,2025-01-02,2025-01-03,Family,1,20692.0
78,1034,Travel Agency,2025-01-02,2025-01-03,Standard,1,14331.0
