sales_id,sales_date,revenue_category,amount_jpy
1,2025-01-01,Rooms,756698.0
2,2025-01-01,Food & Beverage,151058.0
3,2025-01-01,Spa,62703.0
4,2025-01-01,Events,103184.0
5,2025-01-01,Parking,18876.0
6,2025-01-02,Rooms,847456.0
7,2025-01-02,Food & Beverage,249966.0
8,2025-01-02,Spa,68332.0
9,2025-01-02,Events,41102.0
10,2025-01-02,Parking,8814.0
11,2025-01-03,Rooms,722449.0
12,2025-01-03,Food & Beverage,182263.0
13,2025-01-03,Spa,34268.0
14,2025-01-03,Events,14883.0
15,2025-01-03,Parking,8187.0
16,2025-01-04,Rooms,932122.0
17,2025-01-04,Food & Beverage,259454.0
18,2025-01-04,Spa,52163.0
19,2025-01-04,Events,73556.0
20,2025-01-04,Parking,15639.0
21,2025-01-05,Rooms,917472.0
22,2025-01-05,Food & Beverage,208090.0
23,2025-01-05,Spa,79877.0
24,2025-01-05,Events,31999.0
25,2025-01-05,Parking,14074.0
26,2025-01-06,Rooms,671970.0
27,2025-01-06,Food & Beverage,182837.0
28,2025-01-06,Spa,60104.0
29,2025-01-06,Events,77273.0
30,2025-01-06,Parking,18217.0
31,2025-01-07,Rooms,858916.0
32,2025-01-07,Food & Beverage,267774.0
33,2025-01-07,Spa,39894.0
34,2025-01-07,Events,120408.0
35,2025-01-07,Parking,17071.0
36,2025-01-08,Rooms,595888.0
37,2025-01-08,Food & Beverage,145462.0
38,2025-01-08,Spa,37702.0
39,2025-01-08,Events,18484.0
40,2025-01-08,Parking,20873.0
41,2025-01-09,Rooms,663285.0
42,2025-01-09,Food & Beverage,190850.0
43,2025-01-09,Spa,58279.0
44,2025-01-09,Events,16853.0
45,2025-01-09,Parking,14251.0
46,2025-01-10,Rooms,975636.0
47,2025-01-10,Food & Beverage,285841.0
48,2025-01-10,Spa,61205.0
49,2025-01-10,Events,98738.0
50,2025-01-10,Parking,21131.0
51,2025-01-11,Rooms,686851.0
52,2025-01-11,Food & Beverage,212594.0
53,2025-01-11,Spa,36990.0
54,2025-01-11,Events,62645.0
55,2025-01-11,Parking,8488.0
56,2025-01-12,Rooms,831515.0
57,2025-01-12,Food & Beverage,173209.0
58,2025-01-12,Spa,40478.0
59,2025-01-12,Events,49145.0
60,2025-01-12,Parking,32868.0
61,2025-01-13,Rooms,742436.0
62,2025-01-13,Food & Beverage,151554.0
63,2025-01-13,Spa,29574.0
64,2025-01-13,Events,20203.0
65,2025-01-13,Parking,11966.0
66,2025-01-14,Rooms,857140.0
67,2025-01-14,Food & Beverage,183917.0
68,2025-01-14,Spa,62178.0
69,2025-01-14,Events,116024.0
70,2025-01-14,Parking,27740.0
71,2025-01-15,Rooms,951661.0
72,2025-01-15,Food & Beverage,257865.0
73,2025-01-15,Spa,47938.0
74,2025-01-15,Events,133566.0
75,2025-01-15,Parking,33730.0
76,2025-01-16,Rooms,648031.0
77,2025-01-16,Food & Beverage,204161.0
78,2025-01-16,Spa,35852.0
79,2025-01-16,Events,109016.0
80,2025-01-16,Parking,21318.0
81,2025-01-17,Rooms,699673.0
82,2025-01-17,Food & Beverage,169735.0
83,2025-01-17,Spa,24917.0
84,2025-01-17,Events,47124.0
85,2025-01-17,Parking,12436.0
86,2025-01-18,Rooms,956080.0
87,2025-01-18,Food & Beverage,305496.0
88,2025-01-18,Spa,62770.0
89,2025-01-18,Events,45464.0
90,2025-01-18,Parking,20190.0
91,2025-01-19,Rooms,824060.0
92,2025-01-19,Food & Beverage,252930.0
93,2025-01-19,Spa,38815.0
94,2025-01-19,Events,44071.0
95,2025-01-19,Parking,19202.0
96,2025-01-20,Rooms,768751.0
97,2025-01-20,Food & Beverage,155253.0
98,2025-01-20,Spa,50699.0
99,2025-01-20,Events,128368.0
100,2025-01-20,Parking,12855.0
101,2025-01-21,Rooms,774407.0
102,2025-01-21,Food & Beverage,141540.0
103,2025-01-21,Spa,53477.0
104,2025-01-21,Events,86826.0
105,2025-01-21,Parking,17066.0
106,2025-01-22,Rooms,718289.0
107,2025-01-22,Food & Beverage,166825.0
108,2025-01-22,Spa,26299.0
109,2025-01-22,Events,20500.0
110,2025-01-22,Parking,9521.0
111,2025-01-23,Rooms,568730.0
112,2025-01-23,Food & Beverage,180306.0
113,2025-01-23,Spa,40662.0
114,2025-01-23,Events,57618.0
115,2025-01-23,Parking,20087.0
116,2025-01-24,Rooms,548436.0
117,2025-01-24,Food & Beverage,145598.0
118,2025-01-24,Spa,41396.0
119,2025-01-24,Events,68834.0
120,2025-01-24,Parking,14583.0
121,2025-01-25,Rooms,834207.0
122,2025-01-25,Food & Beverage,221966.0
123,2025-01-25,Spa,72500.0
124,2025-01-25,Events,103461.0
125,2025-01-25,Parking,25533.0
126,2025-01-26,Rooms,886739.0
127,2025-01-26,Food & Beverage,224085.0
128,2025-01-26,Spa,48525.0
129,2025-01-26,Events,50993.0
130,2025-01-26,Parking,24992.0
131,2025-01-27,Rooms,730912.0
132,2025-01-27,Food & Beverage,182781.0
133,2025-01-27,Spa,27347.0
134,2025-01-27,Events,69997.0
135,2025-01-27,Parking,17928.0
136,2025-01-28,Rooms,700637.0
137,2025-01-28,Food & Beverage,179618.0
138,2025-01-28,Spa,61310.0
139,2025-01-28,Events,46759.0
140,2025-01-28,Parking,23565.0
141,2025-01-29,Rooms,842159.0
142,2025-01-29,Food & Beverage,266614.0
143,2025-01-29,Spa,44524.0
144,2025-01-29,Events,124997.0
145,2025-01-29,Parking,18981.0
146,2025-01-30,Rooms,859577.0
147,2025-01-30,Food & Beverage,253494.0
148,2025-01-30,Spa,46982.0
149,2025-01-30,Events,91611.0
150,2025-01-30,Parking,17677.0
151,2025-01-31,Rooms,962441.0
152,2025-01-31,Food & Beverage,263668.0
153,2025-01-31,Spa,72095.0
154,2025-01-31,Events,109272.0
155,2025-01-31,Parking,18099.0
156,2025-02-01,Rooms,711996.0
157,2025-02-01,Food & Beverage,148845.0
158,2025-02-01,Spa,56341.0
159,2025-02-01,Events,127103.0
160,2025-02-01,Parking,21082.0
161,2025-02-02,Rooms,686645.0
162,2025-02-02,Food & Beverage,198354.0
163,2025-02-02,Spa,47275.0
164,2025-02-02,Events,20655.0
165,2025-02-02,Parking,10855.0
166,2025-02-03,Rooms,875205.0
167,2025-02-03,Food & Beverage,248254.0
168,2025-02-03,Spa,37801.0
169,2025-02-03,Events,31113.0
170,2025-02-03,Parking,9177.0
171,2025-02-04,Rooms,730840.0
172,2025-02-04,Food & Beverage,181162.0
173,2025-02-04,Spa,58358.0
174,2025-02-04,Events,127495.0
175,2025-02-04,Parking,25421.0
176,2025-02-05,Rooms,886368.0
177,2025-02-05,Food & Beverage,193476.0
178,2025-02-05,Spa,59840.0
179,2025-02-05,Events,102687.0
180,2025-02-05,Parking,22414.0
181,2025-02-06,Rooms,756100.0
182,2025-02-06,Food & Beverage,212181.0
183,2025-02-06,Spa,61767.0
184,2025-02-06,Events,80793.0
185,2025-02-06,Parking,15863.0
186,2025-02-07,Rooms,740060.0
187,2025-02-07,Food & Beverage,147201.0
188,2025-02-07,Spa,43904.0
189,2025-02-07,Events,16846.0
190,2025-02-07,Parking,24880.0
191,2025-02-08,Rooms,770398.0
192,2025-02-08,Food & Beverage,227401.0
193,2025-02-08,Spa,49409.0
194,2025-02-08,Events,131567.0
195,2025-02-08,Parking,17027.0
196,2025-02-09,Rooms,699756.0
197,2025-02-09,Food & Beverage,181002.0
198,2025-02-09,Spa,23211.0
199,2025-02-09,Events,119237.0
200,2025-02-09,Parking,23495.0
201,2025-02-10,Rooms,1076362.0
202,2025-02-10,Food & Beverage,250551.0
203,2025-02-10,Spa,36040.0
204,2025-02-10,Events,143406.0
205,2025-02-10,Parking,29750.0
206,2025-02-11,Rooms,720520.0
207,2025-02-11,Food & Beverage,147667.0
208,2025-02-11,Spa,43980.0
209,2025-02-11,Events,86208.0
210,2025-02-11,Parking,23601.0
211,2025-02-12,Rooms,722440.0
212,2025-02-12,Food & Beverage,141939.0
213,2025-02-12,Spa,32725.0
214,2025-02-12,Events,96155.0
215,2025-02-12,Parking,25374.0
216,2025-02-13,Rooms,788263.0
217,2025-02-13,Food & Beverage,191304.0
218,2025-02-13,Spa,53425.0
219,2025-02-13,Events,138193.0
220,2025-02-13,Parking,19368.0
221,2025-02-14,Rooms,727238.0
222,2025-02-14,Food & Beverage,170226.0
223,2025-02-14,Spa,36294.0
224,2025-02-14,Events,77110.0
225,2025-02-14,Parking,27267.0
226,2025-02-15,Rooms,756524.0
227,2025-02-15,Food & Beverage,230805.0
228,2025-02-15,Spa,29869.0
229,2025-02-15,Events,31193.0
230,2025-02-15,Parking,24829.0
231,2025-02-16,Rooms,567200.0
232,2025-02-16,Food & Beverage,159498.0
233,2025-02-16,Spa,47988.0
234,2025-02-16,Events,58019.0
235,2025-02-16,Parking,17283.0
236,2025-02-17,Rooms,1066623.0
237,2025-02-17,Food & Beverage,286751.0
238,2025-02-17,Spa,83288.0
239,2025-02-17,Events,127995.0
240,2025-02-17,Parking,41705.0
241,2025-02-18,Rooms,595969.0
242,2025-02-18,Food & Beverage,179839.0
243,2025-02-18,Spa,48933.0
244,2025-02-18,Events,27668.0
245,2025-02-18,Parking,21048.0
246,2025-02-19,Rooms,712419.0
247,2025-02-19,Food & Beverage,135548.0
248,2025-02-19,Spa,39385.0
249,2025-02-19,Events,95177.0
250,2025-02-19,Parking,27131.0
251,2025-02-20,Rooms,979845.0
252,2025-02-20,Food & Beverage,278690.0
253,2025-02-20,Spa,69073.0
254,2025-02-20,Events,101279.0
255,2025-02-20,Parking,12692.0
256,2025-02-21,Rooms,686390.0
257,2025-02-21,Food & Beverage,203793.0
258,2025-02-21,Spa,46925.0
259,2025-02-21,Events,85565.0
260,2025-02-21,Parking,20548.0
261,2025-02-22,Rooms,749031.0
262,2025-02-22,Food & Beverage,172081.0
263,2025-02-22,Spa,65923.0
264,2025-02-22,Events,43507.0
265,2025-02-22,Parking,16578.0
266,2025-02-23,Rooms,536402.0
267,2025-02-23,Food & Beverage,164078.0
268,2025-02-23,Spa,46835.0
269,2025-02-23,Events,58521.0
270,2025-02-23,Parking,19214.0
271,2025-02-24,Rooms,850440.0
272,2025-02-24,Food & Beverage,155316.0
273,2025-02-24,Spa,52148.0
274,2025-02-24,Events,100504.0
275,2025-02-24,Parking,30457.0
276,2025-02-25,Rooms,785669.0
277,2025-02-25,Food & Beverage,186957.0
278,2025-02-25,Spa,28009.0
279,2025-02-25,Events,122599.0
280,2025-02-25,Parking,20083.0
281,2025-02-26,Rooms,886962.0
282,2025-02-26,Food & Beverage,268738.0
283,2025-02-26,Spa,45005.0
284,2025-02-26,Events,46368.0
285,2025-02-26,Parking,32258.0
286,2025-02-27,Rooms,693533.0
287,2025-02-27,Food & Beverage,188739.0
288,2025-02-27,Spa,45916.0
289,2025-02-27,Events,76926.0
290,2025-02-27,Parking,15960.0
291,2025-02-28,Rooms,872440.0
292,2025-02-28,Food & Beverage,183611.0
293,2025-02-28,Spa,67657.0
294,2025-02-28,Events,138156.0
295,2025-02-28,Parking,9150.0
296,2025-03-01,Rooms,736797.0
297,2025-03-01,Food & Beverage,163707.0
298,2025-03-01,Spa,25430.0
299,2025-03-01,Events,122529.0
300,2025-03-01,Parking,16136.0
301,2025-03-02,Rooms,429577.0
302,2025-03-02,Food & Beverage,115157.0
303,2025-03-02,Spa,18648.0
304,2025-03-02,Events,38149.0
305,2025-03-02,Parking,14518.0
306,2025-03-03,Rooms,532275.0
307,2025-03-03,Food & Beverage,146345.0
308,2025-03-03,Spa,16500.0
309,2025-03-03,Events,38046.0
310,2025-03-03,Parking,14048.0
311,2025-03-04,Rooms,388164.0
312,2025-03-04,Food & Beverage,87551.0
313,2025-03-04,Spa,15374.0
314,2025-03-04,Events,50065.0
315,2025-03-04,Parking,12395.0
316,2025-03-05,Rooms,379863.0
317,2025-03-05,Food & Beverage,77379.0
318,2025-03-05,Spa,20853.0
319,2025-03-05,Events,18821.0
320,2025-03-05,Parking,11663.0
321,2025-03-06,Rooms,428265.0
322,2025-03-06,Food & Beverage,112129.0
