expense_id,expense_month,department,expense_category,amount_jpy
1,2025-01-01,Rooms,Labor,6589474.0
2,2025-01-01,Food & Beverage,Operating,4755346.0
3,2025-01-01,Housekeeping,Labor,3815883.0
4,2025-01-01,Maintenance,Operating,1758037.0
5,2025-01-01,Sales,Operating,1424102.0
6,2025-01-01,Admin,Operating,2254655.0
7,2025-02-01,Rooms,Labor,6442976.0
8,2025-02-01,Food & Beverage,Operating,5279095.0
9,2025-02-01,Housekeeping,Labor,4038250.0
10,2025-02-01,Maintenance,Operating,1763896.0
11,2025-02-01,Sales,Operating,1551041.0
12,2025-02-01,Admin,Operating,2136547.0
13,2025-03-01,Rooms,Labor,4741048.0
14,2025-03-01,Food & Beverage,Operating,3984567.0
15,2025-03-01,Housekeeping,Labor,2568313.0
16,2025-03-01,Maintenance,Operating,1378840.0
17,2025-03-01,Sales,Operating,1176235.0
18,2025-03-01,Admin,Operating,1888445.0
19,2025-04-01,Rooms,Labor,6181794.0
20,2025-04-01,Food & Beverage,Operating,4115758.0
21,2025-04-01,Housekeeping,Labor,3242584.0
22,2025-04-01,Maintenance,Operating,1756333.0
23,2025-04-01,Sales,Operating,1368756.0
24,2025-04-01,Admin,Operating,2042750.0
25,2025-05-01,Rooms,Labor,5895323.0
26,2025-05-01,Food & Beverage,Operating,4089321.0
27,2025-05-01,Housekeeping,Labor,3512177.0
28,2025-05-01,Maintenance,Operating,1588626.0
29,2025-05-01,Sales,Operating,1398217.0
30,2025-05-01,Admin,Operating,2005312.0
31,2025-06-01,Rooms,Labor,5395500.0
32,2025-06-01,Food & Beverage,Operating,3609283.0
33,2025-06-01,Housekeeping,Labor,2920388.0
34,2025-06-01,Maintenance,Operating,1531090.0
35,2025-06-01,Sales,Operating,1110891.0
36,2025-06-01,Admin,Operating,1705927.0
37,2025-07-01,Rooms,Labor,7653268.0
38,2025-07-01,Food & Beverage,Operating,4893701.0
39,2025-07-01,Housekeeping,Labor,4704912.0
40,2025-07-01,Maintenance,Operating,2357343.0
41,2025-07-01,Sales,Operating,1659846.0
42,2025-07-01,Admin,Operating,2524679.0
43,2025-08-01,Rooms,Labor,8295654.0
44,2025-08-01,Food & Beverage,Operating,5912167.0
45,2025-08-01,Housekeeping,Labor,4409286.0
46,2025-08-01,Maintenance,Operating,2164350.0
47,2025-08-01,Sales,Operating,1860887.0
48,2025-08-01,Admin,Operating,2482354.0
49,2025-09-01,Rooms,Labor,5157223.0
50,2025-09-01,Food & Beverage,Operating,3580253.0
51,2025-09-01,Housekeeping,Labor,3044501.0
52,2025-09-01,Maintenance,Operating,1322825.0
53,2025-09-01,Sales,Operating,1167064.0
54,2025-09-01,Admin,Operating,1689326.0
55,2025-10-01,Rooms,Labor,6030623.0
56,2025-10-01,Food & Beverage,Operating,4394444.0
57,2025-10-01,Housekeeping,Labor,3236911.0
58,2025-10-01,Maintenance,Operating,1642234.0
59,2025-10-01,Sales,Operating,1277694.0
60,2025-10-01,Admin,Operating,1978940.0
61,2025-11-01,Rooms,Labor,4792395.0
62,2025-11-01,Food & Beverage,Operating,3751727.0
63,2025-11-01,Housekeeping,Labor,3224367.0
64,2025-11-01,Maintenance,Operating,1555011.0
65,2025-11-01,Sales,Operating,1197038.0
66,2025-11-01,Admin,Operating,1590383.0
67,2025-12-01,Rooms,Labor,6088972.0
68,2025-12-01,Food & Beverage,Operating,4804350.0
69,2025-12-01,Housekeeping,Labor,3808058.0
70,2025-12-01,Maintenance,Operating,1815440.0
71,2025-12-01,Sales,Operating,1545400.0
72,2025-12-01,Admin,Operating,2067416.0
