shift_id,work_date,department,labor_hours,scheduled_staff
1,2025-01-01,Rooms,73.73,9
2,2025-01-01,Food & Beverage,66.82,8
3,2025-01-01,Housekeeping,78.76,10
4,2025-01-01,Maintenance,28.24,4
5,2025-01-01,Sales,23.12,3
6,2025-01-01,Admin,27.95,3
7,2025-01-02,Rooms,65.67,8
8,2025-01-02,Food & Beverage,57.57,7
9,2025-01-02,Housekeeping,76.51,10
10,2025-01-02,Maintenance,29.45,4
11,2025-01-02,Sales,24.57,3
12,2025-01-02,Admin,27.91,3
13,2025-01-03,Rooms,67.94,8
14,2025-01-03,Food & Beverage,70.62,9
15,2025-01-03,Housekeeping,72.88,9
16,2025-01-03,Maintenance,24.24,3
17,2025-01-03,Sales,28.66,4
18,2025-01-03,Admin,31.25,4
19,2025-01-04,Rooms,57.95,7
20,2025-01-04,Food & Beverage,60.82,8
21,2025-01-04,Housekeeping,78.36,10
22,2025-01-04,Maintenance,25.38,3
23,2025-01-04,Sales,29.51,4
24,2025-01-04,Admin,26.97,3
25,2025-01-05,Rooms,64.44,8
26,2025-01-05,Food & Beverage,69.01,9
27,2025-01-05,Housekeeping,67.44,8
28,2025-01-05,Maintenance,26.09,3
29,2025-01-05,Sales,29.19,4
30,2025-01-05,Admin,24.99,3
31,2025-01-06,Rooms,62.5,8
32,2025-01-06,Food & Beverage,67.84,8
33,2025-01-06,Housekeeping,70.6,9
34,2025-01-06,Maintenance,31.11,4
35,2025-01-06,Sales,29.17,4
36,2025-01-06,Admin,30.0,4
37,2025-01-07,Rooms,67.38,8
38,2025-01-07,Food & Beverage,66.0,8
39,2025-01-07,Housekeeping,73.04,9
40,2025-01-07,Maintenance,31.71,4
41,2025-01-07,Sales,31.0,4
42,2025-01-07,Admin,23.62,3
43,2025-01-08,Rooms,70.41,9
44,2025-01-08,Food & Beverage,69.94,9
45,2025-01-08,Housekeeping,76.68,10
46,2025-01-08,Maintenance,31.86,4
47,2025-01-08,Sales,31.55,4
48,2025-01-08,Admin,26.73,3
49,2025-01-09,Rooms,66.15,8
50,2025-01-09,Food & Beverage,75.23,9
51,2025-01-09,Housekeeping,65.49,8
52,2025-01-09,Maintenance,29.91,4
53,2025-01-09,Sales,23.59,3
54,2025-01-09,Admin,27.78,3
55,2025-01-10,Rooms,69.76,9
56,2025-01-10,Food & Beverage,75.98,9
57,2025-01-10,Housekeeping,71.07,9
58,2025-01-10,Maintenance,29.17,4
59,2025-01-10,Sales,24.68,3
60,2025-01-10,Admin,27.77,3
61,2025-01-11,Rooms,63.93,8
62,2025-01-11,Food & Beverage,70.95,9
63,2025-01-11,Housekeeping,75.29,9
64,2025-01-11,Maintenance,30.21,4
65,2025-01-11,Sales,29.57,4
66,2025-01-11,Admin,23.92,3
67,2025-01-12,Rooms,80.69,10
68,2025-01-12,Food & Beverage,79.01,10
69,2025-01-12,Housekeeping,73.49,9
70,2025-01-12,Maintenance,27.51,3
71,2025-01-12,Sales,28.49,4
72,2025-01-12,Admin,23.12,3
73,2025-01-13,Rooms,64.79,8
74,2025-01-13,Food & Beverage,61.55,8
75,2025-01-13,Housekeeping,69.5,9
76,2025-01-13,Maintenance,25.08,3
77,2025-01-13,Sales,30.87,4
78,2025-01-13,Admin,24.52,3
79,2025-01-14,Rooms,65.14,8
80,2025-01-14,Food & Beverage,76.55,10
81,2025-01-14,Housekeeping,58.53,7
82,2025-01-14,Maintenance,33.27,4
83,2025-01-14,Sales,25.58,3
84,2025-01-14,Admin,22.99,3
85,2025-01-15,Rooms,70.56,9
86,2025-01-15,Food & Beverage,56.85,7
87,2025-01-15,Housekeeping,66.12,8
88,2025-01-15,Maintenance,23.45,3
89,2025-01-15,Sales,26.91,3
90,2025-01-15,Admin,31.92,4
91,2025-01-16,Rooms,63.82,8
92,2025-01-16,Food & Beverage,76.91,10
93,2025-01-16,Housekeeping,74.29,9
94,2025-01-16,Maintenance,25.25,3
95,2025-01-16,Sales,30.23,4
96,2025-01-16,Admin,29.23,4
97,2025-01-17,Rooms,77.04,10
98,2025-01-17,Food & Beverage,84.73,11
99,2025-01-17,Housekeeping,69.8,9
100,2025-01-17,Maintenance,25.78,3
101,2025-01-17,Sales,27.05,3
102,2025-01-17,Admin,24.41,3
103,2025-01-18,Rooms,76.44,10
104,2025-01-18,Food & Beverage,67.39,8
105,2025-01-18,Housekeeping,68.77,9
106,2025-01-18,Maintenance,30.54,4
107,2025-01-18,Sales,26.09,3
108,2025-01-18,Admin,28.45,4
109,2025-01-19,Rooms,67.87,8
110,2025-01-19,Food & Beverage,62.65,8
111,2025-01-19,Housekeeping,86.49,11
112,2025-01-19,Maintenance,27.41,3
113,2025-01-19,Sales,28.76,4
114,2025-01-19,Admin,25.3,3
115,2025-01-20,Rooms,67.99,8
116,2025-01-20,Food & Beverage,75.51,9
117,2025-01-20,Housekeeping,76.46,10
118,2025-01-20,Maintenance,25.95,3
119,2025-01-20,Sales,27.78,3
120,2025-01-20,Admin,30.62,4
121,2025-01-21,Rooms,70.35,9
122,2025-01-21,Food & Beverage,74.15,9
123,2025-01-21,Housekeeping,62.26,8
124,2025-01-21,Maintenance,26.56,3
125,2025-01-21,Sales,21.28,3
126,2025-01-21,Admin,25.5,3
127,2025-01-22,Rooms,59.43,7
128,2025-01-22,Food & Beverage,76.23,10
129,2025-01-22,Housekeeping,57.17,7
130,2025-01-22,Maintenance,32.75,4
131,2025-01-22,Sales,26.5,3
132,2025-01-22,Admin,25.34,3
133,2025-01-23,Rooms,69.28,9
134,2025-01-23,Food & Beverage,77.52,10
135,2025-01-23,Housekeeping,62.4,8
136,2025-01-23,Maintenance,27.89,3
137,2025-01-23,Sales,24.11,3
138,2025-01-23,Admin,31.15,4
139,2025-01-24,Rooms,69.34,9
140,2025-01-24,Food & Beverage,76.59,10
141,2025-01-24,Housekeeping,74.07,9
142,2025-01-24,Maintenance,26.64,3
143,2025-01-24,Sales,27.76,3
144,2025-01-24,Admin,28.78,4
145,2025-01-25,Rooms,72.18,9
146,2025-01-25,Food & Beverage,60.5,8
147,2025-01-25,Housekeeping,64.43,8
148,2025-01-25,Maintenance,30.63,4
149,2025-01-25,Sales,32.04,4
150,2025-01-25,Admin,25.72,3
151,2025-01-26,Rooms,68.46,9
152,2025-01-26,Food & Beverage,53.44,7
153,2025-01-26,Housekeeping,76.44,10
154,2025-01-26,Maintenance,26.79,3
155,2025-01-26,Sales,27.17,3
156,2025-01-26,Admin,30.92,4
157,2025-01-27,Rooms,79.13,10
158,2025-01-27,Food & Beverage,58.65,7
159,2025-01-27,Housekeeping,68.09,9
160,2025-01-27,Maintenance,26.23,3
161,2025-01-27,Sales,29.31,4
162,2025-01-27,Admin,32.05,4
163,2025-01-28,Rooms,72.63,9
164,2025-01-28,Food & Beverage,71.62,9
165,2025-01-28,Housekeeping,63.4,8
166,2025-01-28,Maintenance,31.63,4
167,2025-01-28,Sales,31.81,4
168,2025-01-28,Admin,28.65,4
169,2025-01-29,Rooms,57.23,7
170,2025-01-29,Food & Beverage,68.54,9
171,2025-01-29,Housekeeping,70.35,9
172,2025-01-29,Maintenance,18.83,2
173,2025-01-29,Sales,25.59,3
174,2025-01-29,Admin,28.85,4
175,2025-01-30,Rooms,69.97,9
176,2025-01-30,Food & Beverage,71.97,9
177,2025-01-30,Housekeeping,77.9,10
178,2025-01-30,Maintenance,25.14,3
179,2025-01-30,Sales,30.35,4
180,2025-01-30,Admin,30.87,4
181,2025-01-31,Rooms,66.81,8
182,2025-01-31,Food & Beverage,74.73,9
183,2025-01-31,Housekeeping,78.59,10
184,2025-01-31,Maintenance,27.12,3
185,2025-01-31,Sales,23.39,3
186,2025-01-31,Admin,27.07,3
187,2025-02-01,Rooms,70.07,9
188,2025-02-01,Food & Beverage,63.2,8
189,2025-02-01,Housekeeping,65.37,8
190,2025-02-01,Maintenance,26.39,3
191,2025-02-01,Sales,27.31,3
192,2025-02-01,Admin,23.8,3
193,2025-02-02,Rooms,65.31,8
194,2025-02-02,Food & Beverage,69.98,9
195,2025-02-02,Housekeeping,63.48,8
196,2025-02-02,Maintenance,23.88,3
197,2025-02-02,Sales,29.8,4
198,2025-02-02,Admin,23.31,3
199,2025-02-03,Rooms,70.24,9
200,2025-02-03,Food & Beverage,60.77,8
201,2025-02-03,Housekeeping,83.95,10
202,2025-02-03,Maintenance,25.61,3
203,2025-02-03,Sales,28.15,4
204,2025-02-03,Admin,25.3,3
205,2025-02-04,Rooms,71.91,9
206,2025-02-04,Food & Beverage,76.85,10
207,2025-02-04,Housekeeping,70.74,9
208,2025-02-04,Maintenance,29.52,4
209,2025-02-04,Sales,22.5,3
210,2025-02-04,Admin,28.77,4
211,2025-02-05,Rooms,67.06,8
212,2025-02-05,Food & Beverage,63.5,8
213,2025-02-05,Housekeeping,61.37,8
214,2025-02-05,Maintenance,28.32,4
215,2025-02-05,Sales,28.28,4
216,2025-02-05,Admin,28.19,4
217,2025-02-06,Rooms,70.62,9
218,2025-02-06,Food & Beverage,71.37,9
219,2025-02-06,Housekeeping,79.61,10
220,2025-02-06,Maintenance,18.13,2
221,2025-02-06,Sales,28.19,4
222,2025-02-06,Admin,28.88,4
223,2025-02-07,Rooms,72.5,9
224,2025-02-07,Food & Beverage,79.35,10
225,2025-02-07,Housekeeping,67.01,8
226,2025-02-07,Maintenance,25.71,3
227,2025-02-07,Sales,26.19,3
228,2025-02-07,Admin,30.78,4
229,2025-02-08,Rooms,58.85,7
230,2025-02-08,Food & Beverage,56.05,7
231,2025-02-08,Housekeeping,69.28,9
232,2025-02-08,Maintenance,29.27,4
233,2025-02-08,Sales,33.15,4
234,2025-02-08,Admin,28.08,4
235,2025-02-09,Rooms,71.8,9
236,2025-02-09,Food & Beverage,71.96,9
237,2025-02-09,Housekeeping,57.66,7
238,2025-02-09,Maintenance,26.91,3
239,2025-02-09,Sales,28.95,4
240,2025-02-09,Admin,24.93,3
241,2025-02-10,Rooms,59.88,7
242,2025-02-10,Food & Beverage,68.25,9
243,2025-02-10,Housekeeping,64.92,8
244,2025-02-10,Maintenance,27.53,3
245,2025-02-10,Sales,31.17,4
246,2025-02-10,Admin,26.19,3
247,2025-02-11,Rooms,64.59,8
248,2025-02-11,Food & Beverage,70.1,9
249,2025-02-11,Housekeeping,69.64,9
250,2025-02-11,Maintenance,22.88,3
251,2025-02-11,Sales,26.66,3
252,2025-02-11,Admin,26.58,3
253,2025-02-12,Rooms,77.05,10
254,2025-02-12,Food & Beverage,78.8,10
255,2025-02-12,Housekeeping,79.74,10
256,2025-02-12,Maintenance,27.24,3
257,2025-02-12,Sales,29.46,4
258,2025-02-12,Admin,22.29,3
259,2025-02-13,Rooms,66.39,8
260,2025-02-13,Food & Beverage,68.0,9
261,2025-02-13,Housekeeping,65.24,8
262,2025-02-13,Maintenance,27.78,3
263,2025-02-13,Sales,24.69,3
264,2025-02-13,Admin,23.48,3
265,2025-02-14,Rooms,69.25,9
266,2025-02-14,Food & Beverage,77.53,10
267,2025-02-14,Housekeeping,71.23,9
268,2025-02-14,Maintenance,28.33,4
269,2025-02-14,Sales,29.38,4
270,2025-02-14,Admin,18.73,2
271,2025-02-15,Rooms,54.37,7
272,2025-02-15,Food & Beverage,58.1,7
273,2025-02-15,Housekeeping,76.79,10
274,2025-02-15,Maintenance,22.77,3
275,2025-02-15,Sales,25.35,3
276,2025-02-15,Admin,29.57,4
277,2025-02-16,Rooms,67.97,8
278,2025-02-16,Food & Beverage,68.13,9
279,2025-02-16,Housekeeping,67.22,8
280,2025-02-16,Maintenance,26.06,3
281,2025-02-16,Sales,26.02,3
282,2025-02-16,Admin,26.38,3
283,2025-02-17,Rooms,71.72,9
284,2025-02-17,Food & Beverage,73.16,9
