invoice_id,booking_id,customer_id,invoice_date,due_date,payment_terms_days,room_revenue_jpy,ancillary_revenue_jpy,invoice_amount_jpy
1,1,1087,2025-01-02,2025-02-01,30,12475.0,2854.0,15329.0
2,2,1030,2025-01-03,2025-02-17,45,38080.0,11058.0,49138.0
3,3,1084,2025-01-02,2025-02-01,30,18530.0,2724.0,21254.0
4,4,1098,2025-01-03,2025-02-02,30,35754.0,11881.0,47635.0
5,5,1020,2025-01-04,2025-02-18,45,111945.0,31364.0,143309.0
6,6,1045,2025-01-04,2025-02-18,45,35865.0,9806.0,45671.0
7,7,1069,2025-01-04,2025-02-18,45,58053.0,13986.0,72039.0
8,8,1114,2025-01-05,2025-01-20,15,49072.0,15943.0,65015.0
9,9,1006,2025-01-03,2025-02-02,30,56090.0,11901.0,67991.0
10,10,1049,2025-01-04,2025-02-03,30,60645.0,13424.0,74069.0
11,11,1048,2025-01-03,2025-02-17,45,22096.0,5721.0,27817.0
12,12,1082,2025-01-04,2025-01-19,15,37476.0,7542.0,45018.0
13,13,1049,2025-01-04,2025-02-03,30,36882.0,7161.0,44043.0
14,14,1099,2025-01-05,2025-01-20,15,51280.0,9481.0,60761.0
15,15,1041,2025-01-02,2025-02-01,30,34439.0,6125.0,40564.0
16,16,1028,2025-01-02,2025-02-01,30,11181.0,3865.0,15046.0
17,17,1059,2025-01-03,2025-02-02,30,34882.0,11592.0,46474.0
18,18,1055,2025-01-02,2025-01-17,15,11022.0,1409.0,12431.0
19,19,1018,2025-01-03,2025-02-02,30,48972.0,17868.0,66840.0
20,20,1102,2025-01-02,2025-02-01,30,19997.0,4295.0,24292.0
21,21,1077,2025-01-03,2025-02-02,30,39430.0,10655.0,50085.0
22,22,1093,2025-01-03,2025-02-17,45,50994.0,12692.0,63686.0
23,23,1099,2025-01-05,2025-02-19,45,50128.0,13514.0,63642.0
24,24,1113,2025-01-02,2025-02-01,30,14903.0,2847.0,17750.0
25,25,1065,2025-01-06,2025-02-05,30,97235.0,36864.0,134099.0
26,26,1020,2025-01-05,2025-01-20,15,94072.0,13210.0,107282.0
27,27,1119,2025-01-02,2025-02-16,45,11587.0,3238.0,14825.0
28,28,1113,2025-01-02,2025-02-01,30,21761.0,5178.0,26939.0
29,29,1031,2025-01-04,2025-02-03,30,77604.0,27839.0,105443.0
30,30,1098,2025-01-05,2025-01-20,15,98144.0,32942.0,131086.0
31,31,1122,2025-01-02,2025-02-16,45,18449.0,4039.0,22488.0
32,32,1070,2025-01-02,2025-02-16,45,17501.0,3582.0,21083.0
33,33,1052,2025-01-04,2025-01-19,15,56616.0,20978.0,77594.0
34,34,1029,2025-01-03,2025-02-17,45,48556.0,13375.0,61931.0
35,35,1076,2025-01-02,2025-02-01,30,12593.0,1953.0,14546.0
36,36,1111,2025-01-02,2025-02-01,30,12940.0,3528.0,16468.0
37,37,1063,2025-01-03,2025-01-18,15,29658.0,8924.0,38582.0
38,38,1101,2025-01-02,2025-01-17,15,11617.0,3767.0,15384.0
39,39,1085,2025-01-03,2025-02-02,30,24312.0,6142.0,30454.0
40,40,1083,2025-01-03,2025-02-17,45,24904.0,8267.0,33171.0
41,41,1111,2025-01-03,2025-02-02,30,22298.0,3958.0,26256.0
42,42,1060,2025-01-02,2025-02-01,30,13060.0,1880.0,14940.0
43,43,1111,2025-01-05,2025-02-19,45,52588.0,7355.0,59943.0
44,44,1012,2025-01-04,2025-02-03,30,35748.0,6685.0,42433.0
45,45,1052,2025-01-05,2025-02-04,30,71706.0,20523.0,92229.0
46,46,1050,2025-01-03,2025-01-18,15,25426.0,5333.0,30759.0
47,47,1101,2025-01-05,2025-02-19,45,31200.0,7370.0,38570.0
48,48,1038,2025-01-05,2025-02-04,30,60360.0,19723.0,80083.0
49,49,1007,2025-01-03,2025-02-02,30,13464.0,1653.0,15117.0
50,50,1021,2025-01-04,2025-02-03,30,37754.0,7122.0,44876.0
51,51,1111,2025-01-04,2025-02-18,45,25990.0,3495.0,29485.0
52,52,1032,2025-01-03,2025-02-17,45,12808.0,4622.0,17430.0
53,53,1041,2025-01-03,2025-02-02,30,17356.0,4604.0,21960.0
54,54,1031,2025-01-03,2025-02-02,30,23118.0,4196.0,27314.0
55,55,1120,2025-01-03,2025-02-17,45,10406.0,2940.0,13346.0
56,56,1013,2025-01-04,2025-01-19,15,26536.0,6064.0,32600.0
57,57,1113,2025-01-03,2025-02-02,30,14557.0,4837.0,19394.0
58,58,1070,2025-01-03,2025-01-18,15,11800.0,3403.0,15203.0
59,59,1105,2025-01-04,2025-02-03,30,36590.0,8111.0,44701.0
60,60,1113,2025-01-06,2025-02-05,30,72992.0,23402.0,96394.0
61,61,1078,2025-01-03,2025-02-02,30,11888.0,1880.0,13768.0
62,62,1110,2025-01-03,2025-01-18,15,12385.0,2005.0,14390.0
63,63,1055,2025-01-04,2025-02-03,30,25806.0,7527.0,33333.0
64,64,1017,2025-01-03,2025-01-18,15,31267.0,8286.0,39553.0
65,65,1002,2025-01-03,2025-02-02,30,16926.0,5361.0,22287.0
66,66,1020,2025-01-06,2025-01-21,15,49236.0,9041.0,58277.0
67,67,1040,2025-01-05,2025-02-04,30,56577.0,15149.0,71726.0
68,68,1006,2025-01-06,2025-01-21,15,52296.0,12472.0,64768.0
69,69,1114,2025-01-03,2025-02-02,30,28113.0,10356.0,38469.0
70,70,1119,2025-01-07,2025-02-06,30,137100.0,32136.0,169236.0
71,71,1004,2025-01-06,2025-02-20,45,107428.0,19940.0,127368.0
72,72,1053,2025-01-06,2025-02-05,30,42844.0,16086.0,58930.0
73,73,1014,2025-01-06,2025-02-20,45,126888.0,43092.0,169980.0
74,74,1026,2025-01-03,2025-02-02,30,14421.0,5073.0,19494.0
75,75,1004,2025-01-04,2025-02-18,45,65440.0,16491.0,81931.0
76,76,1009,2025-01-04,2025-01-19,15,34770.0,6694.0,41464.0
77,77,1069,2025-01-03,2025-01-18,15,20692.0,5275.0,25967.0
78,78,1034,2025-01-03,2025-01-18,15,14331.0,3440.0,17771.0
79,79,1094,2025-01-07,2025-02-06,30,67450.0,21357.0,88807.0
80,80,1015,2025-01-04,2025-02-18,45,67864.0,13367.0,81231.0
81,81,1119,2025-01-04,2025-01-19,15,25270.0,8343.0,33613.0
82,82,1095,2025-01-05,2025-02-04,30,96165.0,23576.0,119741.0
83,83,1041,2025-01-04,2025-02-03,30,35448.0,10163.0,45611.0
84,84,1065,2025-01-03,2025-02-02,30,17269.0,4219.0,21488.0
85,85,1054,2025-01-04,2025-02-03,30,25002.0,6058.0,31060.0
86,86,1023,2025-01-04,2025-02-03,30,38274.0,9183.0,47457.0
87,87,1056,2025-01-03,2025-01-18,15,19611.0,2766.0,22377.0
88,88,1057,2025-01-04,2025-02-18,45,64410.0,14132.0,78542.0
89,89,1022,2025-01-07,2025-02-06,30,51596.0,15905.0,67501.0
90,90,1122,2025-01-04,2025-02-18,45,17923.0,6009.0,23932.0
91,91,1026,2025-01-06,2025-01-21,15,53868.0,15404.0,69272.0
92,92,1059,2025-01-04,2025-02-03,30,11325.0,2618.0,13943.0
93,93,1090,2025-01-05,2025-02-04,30,23072.0,3053.0,26125.0
94,94,1111,2025-01-05,2025-02-04,30,23666.0,6737.0,30403.0
95,95,1023,2025-01-04,2025-02-18,45,27170.0,7183.0,34353.0
96,96,1016,2025-01-06,2025-02-05,30,80448.0,16731.0,97179.0
97,97,1072,2025-01-06,2025-02-05,30,35556.0,4599.0,40155.0
98,98,1065,2025-01-08,2025-01-23,15,83085.0,23473.0,106558.0
99,99,1021,2025-01-07,2025-02-06,30,46404.0,12054.0,58458.0
100,100,1099,2025-01-05,2025-02-04,30,36872.0,8030.0,44902.0
101,101,1057,2025-01-05,2025-01-20,15,71740.0,21181.0,92921.0
102,102,1018,2025-01-04,2025-02-18,45,12115.0,1890.0,14005.0
103,103,1028,2025-01-05,2025-02-19,45,27584.0,3778.0,31362.0
104,104,1054,2025-01-05,2025-02-19,45,24110.0,3439.0,27549.0
105,105,1003,2025-01-06,2025-01-21,15,38994.0,5038.0,44032.0
106,106,1097,2025-01-06,2025-02-20,45,81549.0,29629.0,111178.0
107,107,1069,2025-01-07,2025-02-06,30,50740.0,7668.0,58408.0
108,108,1056,2025-01-05,2025-02-04,30,37182.0,6536.0,43718.0
109,109,1103,2025-01-05,2025-02-04,30,38836.0,11711.0,50547.0
110,110,1004,2025-01-04,2025-02-03,30,13632.0,5132.0,18764.0
111,111,1011,2025-01-05,2025-01-20,15,54660.0,17822.0,72482.0
